,avg,low_ci,high_ci,sd,p.value,cond,sid,sidc,ord
SID#16,0.487981757,0.387998472,0.581397011,0.058812189,9.23E-09,high,16,SID#16,20
SID#50,0.494234255,0.392236543,0.588145041,0.060084144,2.37E-08,high,50,SID#50,21
SID#51,0.44189894,0.307239315,0.566824756,0.079622005,1.56E-06,high,51,SID#51,18
SID#19,0.089781541,-0.058779487,0.246459985,0.092216604,0.322129756,high,19,SID#19,6
SID#20,0.051398688,-0.103721206,0.207119799,0.096093183,0.415256317,high,20,SID#20,5
SID#21,0.020738393,-0.123266846,0.16877007,0.089326263,0.486161885,high,21,SID#21,2
SID#22,0.051257173,-0.102993847,0.204212238,0.093359323,0.424218387,high,22,SID#22,4
SID#23,0.209896908,0.068272439,0.342896518,0.084367079,0.024680088,high,23,SID#23,9
SID#24,0.048744194,-0.080510757,0.181224304,0.079811326,0.459233403,high,24,SID#24,3
SID#25,0.397827211,0.255656668,0.532309627,0.082495441,3.60E-05,high,25,SID#25,17
SID#26,0.470299959,0.367314957,0.562219031,0.061284442,2.45E-08,high,26,SID#26,19
SID#27,0.320646492,0.202533208,0.43276897,0.071262915,0.000150788,high,27,SID#27,13
SID#28,0.31550284,0.180955625,0.442039272,0.08139789,0.00050826,high,28,SID#28,12
SID#29,0.340313858,0.184119782,0.482677216,0.092575399,0.00076094,high,29,SID#29,14
SID#30,0.304744242,0.148813632,0.446937461,0.094257745,0.002370303,high,30,SID#30,10
SID#32,-0.019856797,-0.193983843,0.137367396,0.101413512,0.490348994,high,32,SID#32,1
SID#33,0.166427761,-2.34E-05,0.320547209,0.098059475,0.074173823,high,33,SID#33,8
SID#41,0.154939071,0.011283094,0.292998703,0.086610082,0.060459373,high,41,SID#41,7
SID#34,0.369858824,0.24132671,0.485495451,0.074845351,1.33E-05,high,34,SID#34,15
SID#35,0.310802478,0.157776051,0.446835376,0.086699003,0.001886151,high,35,SID#35,11
SID#36,0.390498162,0.258759034,0.52255383,0.081547828,3.48E-05,high,36,SID#36,16
SID#16,0.477158821,0.3823959,0.56048372,0.055640062,1.81E-08,low,16,SID#16,20
SID#50,0.479205181,0.372965597,0.573361446,0.060963314,7.22E-08,low,50,SID#50,21
SID#51,0.447928342,0.320834359,0.568550454,0.075604613,1.31E-06,low,51,SID#51,18
SID#19,0.089091718,-0.063662392,0.232889772,0.089851196,0.281942588,low,19,SID#19,6
SID#20,0.054640593,-0.105078852,0.203744388,0.093854267,0.417495073,low,20,SID#20,5
SID#21,0.203708311,0.058711289,0.338902245,0.084928536,0.019958658,low,21,SID#21,2
SID#22,0.060312007,-0.092543098,0.202591838,0.091740949,0.37504775,low,22,SID#22,4
SID#23,0.215456728,0.063681008,0.371018111,0.091809904,0.02473415,low,23,SID#23,9
SID#24,0.0185011,-0.113024826,0.149460265,0.080615462,0.532511365,low,24,SID#24,3
SID#25,0.396630764,0.255165001,0.528390218,0.083862319,4.22E-05,low,25,SID#25,17
SID#26,0.45690653,0.338546061,0.555201189,0.064888068,5.31E-08,low,26,SID#26,19
SID#27,0.282383205,0.141564886,0.422085775,0.085873359,0.002653948,low,27,SID#27,13
SID#28,0.282383205,0.141564886,0.422085775,0.085873359,0.002653948,low,28,SID#28,12
SID#29,0.397737184,0.251537676,0.527714789,0.084925063,7.92E-05,low,29,SID#29,14
SID#30,0.324911681,0.168946233,0.477949563,0.092113947,0.001242792,low,30,SID#30,10
SID#32,-0.020879499,-0.181912844,0.148627748,0.100056884,0.513016394,low,32,SID#32,1
SID#33,0.163225177,-0.005070496,0.312818716,0.099228265,0.065834405,low,33,SID#33,8
SID#41,0.167262283,0.009993954,0.307105817,0.090785127,0.03922474,low,41,SID#41,7
SID#34,0.356790893,0.21363208,0.489765873,0.083602166,7.16E-05,low,34,SID#34,15
SID#35,0.365207505,0.233075772,0.490358751,0.081473326,0.000156253,low,35,SID#35,11
SID#36,0.439545816,0.298610056,0.562699703,0.079859046,4.18E-06,low,36,SID#36,16