RMSD,low_ci,high_ci,sd,cond,sid,sidc,ord
43.3266581,35.08503195,51.43150245,5.06232444,high,1,SID#1,4
38.86578576,32.86876455,44.85868868,3.626095855,high,2,SID#2,3
45.77569217,39.96002371,51.19628824,3.440933098,high,3,SID#3,8
48.18429439,40.17745926,56.25613066,4.988396699,high,4,SID#4,9
38.61504059,31.30108357,45.98678412,4.511320374,high,5,SID#5,2
50.77441669,42.71655411,59.02882404,5.07254701,high,6,SID#6,12
67.14710374,60.15971386,73.95562393,4.277211567,high,7,SID#7,17
36.64744423,31.57654505,41.98708486,3.253467027,high,8,SID#8,1
50.56580541,43.689479,57.01400756,4.120673459,high,9,SID#9,11
63.83530596,54.30545324,73.21828094,5.705067112,high,10,SID#10,15
44.04588571,38.32406894,50.29777986,3.642715728,high,11,SID#11,6
45.3514755,35.66075676,54.09746819,5.725400815,high,12,SID#12,7
68.77242089,60.11622107,77.79232414,5.446115511,high,13,SID#13,18
60.15011753,51.54264357,68.35567323,5.265297598,high,14,SID#14,14
77.59031923,69.74836655,85.08803458,4.73761605,high,16,SID#16,19
52.13788897,42.27581005,60.92885592,5.584551074,high,18,SID#18,13
49.23729201,40.95109674,57.79046869,5.19185918,high,19,SID#19,10
43.97405669,36.36438677,52.231609,4.735812801,high,20,SID#20,5
64.34830269,57.08872246,71.15285854,4.264310112,high,15,SID#15,16
40.72751229,32.52912687,48.84538416,5.081507749,low,1,SID#1,4
43.1319642,37.7664126,48.29627537,3.242841866,low,2,SID#2,3
47.7416349,40.06981598,55.42549953,4.581993889,low,3,SID#3,8
47.03235573,38.51359836,55.29757516,5.089899126,low,4,SID#4,9
37.80104817,30.36626094,45.78900836,4.708057535,low,5,SID#5,2
52.44041531,42.89405479,60.78927723,5.598350847,low,6,SID#6,12
66.74313293,58.24056722,75.19974612,5.142970625,low,7,SID#7,17
45.32742688,36.36946118,53.61843014,5.320970503,low,8,SID#8,1
52.40584046,46.33092557,58.53005752,3.749033892,low,9,SID#9,11
58.82466976,48.6481864,68.29576741,5.979437032,low,10,SID#10,15
41.00469574,35.08526007,46.67718716,3.623894165,low,11,SID#11,6
41.55301018,34.81292926,48.22404477,4.054024324,low,12,SID#12,7
0,0,0,0,low,13,SID#13,18
55.84966058,46.00029579,65.03611358,5.7186192,low,14,SID#14,14
70.70884051,61.97298204,79.57399768,5.332020529,low,16,SID#16,19
44.94313412,37.85093306,51.8883403,4.217683803,low,18,SID#18,13
48.99599303,40.54278301,57.42261587,5.289022012,low,19,SID#19,10
42.24133079,34.56330633,50.21543723,4.656891646,low,20,SID#20,5
57.60919333,49.71028639,65.60970198,4.865634653,low,15,SID#15,16